자전거보관소명	소재지도로명주소	소재지지번주소	위도	경도	보관대수	설치년도	설치형태	차양막설치여부	공기주입기비치여부	공기주입기유형	수리대설치여부	관리기관전화번호	관리기관명	데이터기준일자
영신여자고등학교	경기도 수원시 권선구 삼천병마로1566번길 30	경기도 수원시 권선구 오목천동 537-1	37.242373	126.966072	10				N		N	031-299-7016	영신여자고등학교	2019-10-02
고색고등학교	경기도 수원시 권선구 서둔로17번길 32	경기도 수원시 권선구 고색동 888-158	37.253852	126.982348	10				N		N	031-8012-6887	고색고등학교	2019-10-02
권선고등학교	경기도 수원시 권선구 세권로 276	경기도 수원시 권선구 권선동 1243	37.252782	127.033365	10				N		N	031-230-0232	권선고등학교	2019-10-02
칠보고등학교	경기도 수원시 권선구 금곡로 127	경기도 수원시 권선구 금곡동 1073	37.275138	126.944959	10				N		N	031-8007-5855	칠보고등학교	2019-10-02
호매실고등학교	경기도 수원시 권선구 칠보로 142-1	경기도 수원시 권선구 호매실동 1365	37.264924	126.955338	10				N		N	031-547-6907	호매실고등학교	2019-10-02
화홍고등학교	경기도 수원시 권선구 세권로 331	경기도 수원시 권선구 권선동 1302	37.251745	127.040254	10				N		N	031-220-3308	화홍고등학교	2019-10-02
유신고등학교	경기도 수원시 팔달구 월드컵로 216	경기도 수원시 팔달구 우만동 9-1	37.282431	127.041348	10				N		N	031-211-1614	유신고등학교	2019-10-02
광교중학교	경기도 수원시 영통구 웰빙타운로 55	경기도 수원시 영통구 이의동 1207	37.304527	127.044645	10				N		N	031-218-3500	광교중학교	2019-10-02
매원중학교	경기도 수원시 영통구 매탄로 177	경기도 수원시 영통구 매탄동 812	37.266618	127.045249	10				N		N	031-212-5552	매원중학교	2019-10-02
매탄중학교	경기도 수원시 영통구 효원로 337	경기도 수원시 영통구 매탄동 1353	37.260734	127.039257	10				N		N	031-547-1405	매탄중학교	2019-10-02
수원다산중학교	경기도 수원시 영통구 혜령로 12	경기도 수원시 영통구 이의동 1368	37.283962	127.051268	10				N		N	031-217-6711	수원다산중학교	2019-10-02
연무중학교	경기도 수원시 영통구 센트럴타운로100번길 30	경기도 수원시 영통구 이의동 1325	37.292901	127.051883	10				N		N	031-216-2983	연무중학교	2019-10-02
영통중학교	경기도 수원시 영통구 영통로 316	경기도 수원시 영통구 영통동 964-2	37.253621	127.063751	10				N		N	031-203-2094	영통중학교	2019-10-02
이의중학교	경기도 수원시 영통구 법조로 129	경기도 수원시 영통구 하동 981	37.291326	127.070765	10				N		N	031-8006-2917	이의중학교	2019-10-02
청명중학교	경기도 수원시 영통구 청명북로 118	경기도 수원시 영통구 영통동 955-3	37.261858	127.078128	10				N		N	031-547-4200	청명중학교	2019-10-02
태장중학교	경기도 수원시 영통구 봉영로1517번길 45	경기도 수원시 영통구 영통동 970-1	37.248991	127.065189	10				N		N	031-201-9500	태장중학교	2019-10-02
중앙기독중학교	경기도 수원시 영통구 월드컵로 70	경기도 수원시 영통구 원천동 134-3	37.275994	127.058046	10				N		N	070-7018-1493	중앙기독중학교	2019-10-02
광교고등학교	경기도 수원시 영통구 도청로89번길 11	경기도 수원시 영통구 이의동 1346	37.289712	127.048547	10				N		N	070-4600-7216	광교고등학교	2019-10-02
망포고등학교	경기도 수원시 영통구 동탄지성로 468	경기도 수원시 영통구 망포동 672-6	37.233805	127.046438	10				N		N	031-547-1600	망포고등학교	2019-10-02
영복여자고등학교	경기도 수원시 팔달구 장안로7번길 49-1	경기도 수원시 팔달구 화서동 7-10	37.285624	127.001673	10				N		N	031-245-2500	영복여자고등학교	2019-10-02
창현고등학교	경기도 수원시 팔달구 월드컵로 216-1	경기도 수원시 팔달구 우만동 9-1	37.284911	127.041855	10				N		N	031-548-5040	창현고등학교	2019-10-02
동수원중학교	경기도 수원시 영통구 동탄원천로1109번길 92	경기도 수원시 영통구 매탄동 1200	37.271292	127.054723	10				N		N	031-214-0042	동수원중학교	2019-10-02
매현중학교	경기도 수원시 영통구 동탄원천로881번길 20	경기도 수원시 영통구 매탄동 1284	37.254862	127.042794	10				N		N	031-217-1653	매현중학교	2019-10-02
원일중학교	경기도 수원시 영통구 삼성로213번길 122	경기도 수원시 영통구 매탄동 1229-10	37.265396	127.053546	10				N		N	031-218-0153	원일중학교	2019-10-02
영덕중학교	경기도 수원시 영통구 청명로 146	경기도 수원시 영통구 영통동 957-3	37.258552	127.072891	10				N		N	031-202-2292	영덕중학교	2019-10-02
매화2공원		경기도 수원시 영통구 매탄동 1259	37.260195	127.046066	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
5호어린이공원	경기도 수원시 영통구 영통로 438	경기도 수원시 영통구 영통동 957-2	37.259049	127.073951	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
9호어린이공원	경기도 수원시 영통구 봉영로 1526	경기도 수원시 영통구 영통동 988-2	37.248521	127.069643	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
율천동 주민센터	경기도 수원시 장안구 서부로2106번길 27	경기도 수원시 장안구 율전동 433-2	37.297615	126.971425	4				N		N	031-228-5605	수원시 율천동주민센터	2019-10-02
정자3동 주민센터	경기도 수원시 장안구 대평로 85	경기도 수원시 장안구 정자동 879-4	37.295701	126.992583	10				N		N	031-228-5712	수원시 정자3동주민센터	2019-10-02
송죽동 주민센터	경기도 수원시 장안구 송원로41번길 16-21	경기도 수원시 장안구 송죽동 502-1	37.300538	127.007047	20				N		N	031-228-5609	수원시 송죽동주민센터	2019-10-02
경기도립 중앙도서관	경기도 수원시 장안구 조원로 18	경기도 수원시 장안구 조원동 495	37.298543	127.022363	30				N		N	031-240-4045	경기도립중앙도서관	2019-10-02
수원시 푸른 녹지사업소	경기도 수원시 장안구 경수대로 893	경기도 수원시 장안구 조원동 775	37.298611	127.007557	20				N		N	031-228-4561	수원시 푸른 녹지사업소	2019-10-02
연세모아 병원 버스정류장		경기도 수원시 영통구 영통동 945-3	37.267027	127.081674	10				N		N	031-228-8966	수원시 영통구청	2019-10-02
장안구청	경기도 수원시 장안구 송원로 101	경기도 수원시 장안구 조원동 888	37.303381	127.009624	10				N		N	031-228-5276	수원시 장안구청	2019-10-02
수원시 종합자원 봉사센터	경기도 수원시 장안구 영화로71번길 2	경기도 수원시 장안구 정자동 68-18	37.293034	127.006334	10				N		N	031-253-1365	수원시 종합자원 봉사센터	2019-10-02
율현중학교	경기도 수원시 팔달구 일월로22번길 60	경기도 수원시 팔달구 화서동 729	37.286121	126.982652	10				N		N	031-298-9674	율현중학교	2019-10-02
매화공원	경기도 수원시 영통구 매탄로126번길66	경기도 수원시 영통구 매탄동 1260	37.260865	127.047852	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
머내생태공원		경기도 수원시 영통구 매탄동 1318	37.259491	127.048951	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
광교호수공원		경기도 수원시 영통구 하동 1020	37.286331	127.066223	10				N		N	031-228-4196	수원시 공원녹지사업소	2019-10-02
영통중앙공원	경기도 수원시 영통구 청명로 151	경기도 수원시 영통구 영통동 961-1	37.257187	127.072059	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
